phi0,phi2,Phi0,Phi2
2.2910461536969357e-11,-9.938788290374398e-15,2.2890583960388607e-11,-9.938788290374398e-15
2.2952272029732864e-11,-1.0114305984908548e-14,2.2932043417763047e-11,-1.0114305984908548e-14
2.2994097135935724e-11,-1.0285306064455656e-14,2.2973526523806813e-11,-1.0285306064455656e-14
2.3035936514726622e-11,-1.0451052422316863e-14,2.301503440988199e-11,-1.0451052422316863e-14
2.307778998930948e-11,-1.0610801327416003e-14,2.3056568386654648e-11,-1.0610801327416003e-14
2.311965747253099e-11,-1.0763806632182703e-14,2.3098129859266624e-11,-1.0763806632182703e-14
2.3161538929642144e-11,-1.0909326435855516e-14,2.3139720276770433e-11,-1.0909326435855516e-14
2.3203434358234416e-11,-1.104663066798471e-14,2.3181341096898447e-11,-1.104663066798471e-14
2.324534377677042e-11,-1.1175009276393312e-14,2.3222993758217635e-11,-1.1175009276393312e-14
2.3287267217701236e-11,-1.129378077725157e-14,2.326467965614673e-11,-1.129378077725157e-14
2.3329204723165217e-11,-1.1402300945900561e-14,2.3306400121273416e-11,-1.1402300945900561e-14
2.3350897417354462e-11,-1.1077486550403622e-14,2.3328742444253655e-11,-1.1077486550403622e-14
2.3369633382090652e-11,-1.0765159447528595e-14,2.3348103063195596e-11,-1.0765159447528595e-14
2.3388168359456743e-11,-1.0506728394324603e-14,2.3367154902668092e-11,-1.0506728394324603e-14
2.3406545155587502e-11,-1.0287500138631268e-14,2.338597015531024e-11,-1.0287500138631268e-14
2.3424794159606758e-11,-1.0097007028513665e-14,2.3404600145549732e-11,-1.0097007028513665e-14
2.344293755012431e-11,-9.927594395849196e-15,2.3423082361332612e-11,-9.927594395849196e-15
2.3460993146776505e-11,-9.772236781569966e-15,2.3441448673213366e-11,-9.772236781569966e-15
2.3478961787433735e-11,-9.638902535639014e-15,2.3459683982362458e-11,-9.638902535639014e-15
2.349685328470532e-11,-9.523901700297556e-15,2.3477805481304725e-11,-9.523901700297556e-15
2.351467537968986e-11,-9.424331283875418e-15,2.3495826717122107e-11,-9.424331283875418e-15
2.3532434265984638e-11,-9.3378761729729e-15,2.3513758513638693e-11,-9.3378761729729e-15
2.3550134962266136e-11,-9.262667573943477e-15,2.3531609627118248e-11,-9.262667573943477e-15
2.3567781582148313e-11,-9.197180480363566e-15,2.3549387221187586e-11,-9.197180480363566e-15
2.358537753290813e-11,-9.140158165773344e-15,2.3567097216576584e-11,-9.140158165773344e-15
2.3602925664032546e-11,-9.090555740900898e-15,2.3584744552550745e-11,-9.090555740900898e-15
2.362042837977178e-11,-9.04749738653659e-15,2.3602333384998706e-11,-9.04749738653659e-15
2.3637887725478944e-11,-9.010243546276683e-15,2.361986723838639e-11,-9.010243546276683e-15
