0	1.00E+07
1	6.07E+06
2	3.68E+06
3	2.23E+06
4	1.35E+06
5	8.21E+05
6	5.00E+05
7	3.03E+05
8	1.83E+05
9	1.11E+05
10	6.73E+04
11	4.09E+04
12	2.48E+04
13	1.50E+04
14	9.12E+03
15	5.53E+03
16	3.52E+03
17	2.24E+03
18	1.43E+03
19	9.07E+02
20	3.67E+02
21	1.49E+02
22	7.55E+01
23	4.81E+01
24	2.77E+01
25	1.60E+01
26	9.88E+00
27	4.00E+00
28	3.30E+00
29	2.60E+00
30	2.10E+00
31	1.50E+00
32	1.30E+00
33	1.15E+00
34	1.12E+00
35	1.10E+00
36	1.07E+00
37	1.05E+00
38	1.02E+00
39	9.96E-01
40	9.72E-01
41	9.50E-01
42	9.10E-01
43	8.50E-01
44	7.80E-01
45	6.25E-01
46	5.00E-01
47	4.00E-01
48	3.50E-01
49	3.20E-01
50	3.00E-01
51	2.80E-01
52	2.50E-01
53	2.20E-01
54	1.80E-01
55	1.40E-01
56	1.00E-01
57	8.00E-02
58	6.70E-02
59	5.80E-02
60	5.00E-02
61	4.20E-02
62	3.50E-02
63	3.00E-02
64	2.50E-02
65	2.00E-02
66	1.50E-02
67	1.00E-02
68	5.00E-03
69	1.00E-05
