Incident energy;σ(E)
6.564787;1.66063
6.568034;2.006865
6.57128;2.411299
6.574527;2.883418
6.577773;3.433872
6.58102;4.076029
6.584266;4.825071
6.587513;5.700196
6.590759;6.723508
6.594006;7.923185
6.597252;9.332189
6.600499;10.99293
6.603745;12.95593
6.606991;15.28612
6.610237;18.06483
6.613484;21.39673
6.61673;25.413
6.619977;30.28932
6.623223;36.25041
6.62647;43.60337
6.628093;47.92256
6.629716;52.75314
6.63134;58.17383
6.632963;64.26663
6.634586;71.13964
6.636209;78.91765
6.637833;87.75543
6.639456;97.82086
6.641079;109.3342
6.642702;122.5558
6.644326;137.8116
6.645949;155.4681
6.647572;176.005
6.649195;199.9988
6.650819;228.1751
6.652442;261.3646
6.654065;300.6368
6.655688;347.2613
6.657311;402.74
6.658934;468.7909
6.660557;547.265
6.66218;639.9313
6.663693;740.2142
6.665205;853.8726
6.66823;1111.694
6.669743;1243.011
6.671255;1361.118
6.672768;1452.231
6.67428;1503.891
6.675793;1509.576
6.677305;1470.807
6.678818;1396.207
6.68033;1298.174
6.683355;1077.659
6.684868;971.1982
6.68638;873.0523
6.68829;763.0464
6.690199;668.7752
6.692109;588.792
6.694018;521.275
6.695928;464.2065
6.697837;415.8836
6.699747;374.7456
6.701656;339.5805
6.703566;309.3229
6.705475;283.1681
6.707385;260.409
6.709294;240.5176
6.711204;223.0229
6.713113;207.5751
6.715023;193.8554
6.716932;181.6285
6.720751;160.8301
6.72457;143.8955
6.728389;129.9132
6.732208;118.2245
6.736027;108.3439
6.739846;99.90833
6.743665;92.64167
6.747484;86.33113
6.751303;80.81061
6.755122;75.9489
6.758941;71.64125
6.76276;67.80319
6.766579;64.36597
6.770398;61.27318
6.778036;55.94201
6.785674;51.52096
6.793312;47.80468
6.80095;44.64368
6.808588;41.92688
6.816226;39.57022
6.823864;37.5091
6.831502;35.69313
6.83914;34.08249
6.846778;32.64534
6.854416;31.35596
6.862054;30.19337
6.869692;29.1403
6.884968;27.30768
6.900244;25.76896
6.91552;24.46022
6.930795;23.3346
6.946071;22.35682
6.961347;21.50012
