49.52821,3.38837E-07
49.56012,3.39674E-07
49.59203,3.40513E-07
49.60799,3.40933E-07
49.62394,3.41353E-07
49.6402,3.41782E-07
49.64582,3.4193E-07
49.66243,3.42368E-07
49.68655,3.43006E-07
49.7033,3.43449E-07
49.72004,3.43893E-07
49.75353,3.44781E-07
49.79104,3.45778E-07
49.80979,3.46278E-07
49.82854,3.46777E-07
49.84998,3.4735E-07
49.87141,3.47923E-07
49.89284,3.48497E-07
49.91427,3.49071E-07
49.93571,3.49647E-07
49.95714,3.50224E-07
50,3.51379E-07
50.04762,3.52667E-07
50.09523,3.53958E-07
50.19046,3.5655E-07
50.38091,3.61784E-07
50.76181,3.72514E-07
51.52362,3.95175E-07
52.28543,4.19196E-07
53.04724,4.45143E-07
54.25344,4.92611E-07
54.85654,5.19732E-07
55.45964,5.5033E-07
56.06274,5.83237E-07
56.66584,6.21525E-07
57.26894,6.65927E-07
57.57049,6.90522E-07
57.72126,7.03528E-07
57.79665,7.10279E-07
57.83434,7.13707E-07
57.87203,7.17172E-07
57.91171,7.20862E-07
57.93155,7.22724E-07
57.95139,7.24598E-07
57.99107,7.28382E-07
58.03074,7.32213E-07
58.06943,7.35996E-07
58.08877,7.37905E-07
58.10811,7.39825E-07
58.12878,7.41889E-07
58.13721,7.42735E-07
58.1537,7.44396E-07
58.18513,7.47585E-07
58.20739,7.49862E-07
58.22965,7.52156E-07
58.27416,7.56791E-07
58.30559,7.60105E-07
58.33701,7.63455E-07
58.36843,7.66842E-07
58.39985,7.70269E-07
58.44175,7.74903E-07
58.48364,7.79609E-07
58.59886,7.92883E-07
58.71408,8.06531E-07
58.94451,8.35425E-07
59.40537,9.00585E-07
59.86624,9.78028E-07
60.3271,1.07163E-06
60.78797,1.18651E-06
61.0184,1.25458E-06
61.24883,1.33114E-06
61.47927,1.41794E-06
61.7097,1.51758E-06
61.94013,1.63225E-06
62.17056,1.76371E-06
62.42194,1.93412E-06
62.67332,2.14149E-06
62.79901,2.26204E-06
62.9247,2.39616E-06
63.05039,2.54583E-06
63.11324,2.62714E-06
63.14466,2.66956E-06
63.17608,2.71325E-06
63.21078,2.76305E-06
63.22813,2.7886E-06
63.24548,2.81461E-06
63.26283,2.84107E-06
63.28018,2.86802E-06
63.29753,2.89545E-06
63.31487,2.92337E-06
63.33222,2.95183E-06
63.34957,2.98081E-06
63.38426,3.0404E-06
63.41896,3.10228E-06
63.45365,3.16652E-06
63.47984,3.21667E-06
63.50471,3.26567E-06
63.52111,3.29873E-06
63.52251,3.30158E-06
63.52814,3.31309E-06
63.53096,3.31888E-06
63.53962,3.33679E-06
63.54827,3.35485E-06
63.56276,3.38552E-06
63.5845,3.43249E-06
63.60624,3.48067E-06
63.64971,3.5808E-06
63.68835,3.67428E-06
63.70768,3.72273E-06
63.727,3.77231E-06
63.74632,3.82311E-06
63.76564,3.87515E-06
63.78496,3.92849E-06
63.80428,3.98317E-06
63.84292,4.09677E-06
63.88157,4.21638E-06
63.92021,4.34237E-06
63.99749,4.61512E-06
64.07478,4.91817E-06
64.15206,5.25588E-06
64.25833,5.79036E-06
64.3646,6.42789E-06
64.47087,7.19707E-06
64.57713,8.13694E-06
64.6834,9.30413E-06
64.73654,9.99746E-06
64.78967,1.07812E-05
64.84281,1.16724E-05
64.89594,1.26916E-05
64.94907,1.3865E-05
65.0022,1.52264E-05
65.06258,1.70593E-05
65.09277,1.81157E-05
65.12296,1.92842E-05
65.15315,2.05822E-05
65.16825,2.12865E-05
65.18334,2.20307E-05
65.19844,2.28194E-05
65.21353,2.36552E-05
65.22863,2.45431E-05
65.24372,2.54866E-05
65.25399,2.61634E-05
65.26425,2.68696E-05
65.27452,2.76085E-05
65.28478,2.83807E-05
65.29263,2.89959E-05
65.30048,2.96333E-05
65.30168,2.97328E-05
65.30501,3.00117E-05
65.30833,3.02942E-05
65.31497,3.08724E-05
65.32252,3.15523E-05
65.33006,3.22564E-05
65.33761,3.29879E-05
65.34515,3.37462E-05
65.353,3.4567E-05
65.36085,3.54215E-05
65.3687,3.63118E-05
65.37655,3.724E-05
65.3844,3.82087E-05
65.39225,3.92204E-05
65.40795,4.13848E-05
65.42124,4.33807E-05
65.43452,4.55458E-05
65.4478,4.7905E-05
65.46108,5.04871E-05
65.47437,5.33297E-05
65.48765,5.64722E-05
65.50093,5.99717E-05
65.51421,6.38977E-05
65.5275,6.83422E-05
65.54078,7.34115E-05
65.55407,7.92582E-05
65.56071,8.25253E-05
65.56735,8.60589E-05
65.574,8.98961E-05
65.58064,9.40608E-05
65.58728,9.85983E-05
65.59392,0.000103553
65.60056,0.000108976
65.6072,0.000114921
65.61384,0.000121454
65.62048,0.000128642
65.62713,0.000136576
65.63377,0.000145319
65.64041,0.000154976
65.64705,0.000165651
