E	chi
8.3000E+02	1.9529E-08
8.4000E+02	1.9644E-08
8.5000E+02	1.9759E-08
8.6000E+02	1.9874E-08
8.7000E+02	1.9989E-08
8.8000E+02	2.0104E-08
8.9000E+02	2.0219E-08
9.0000E+02	2.0334E-08
9.1000E+02	2.0449E-08
9.2000E+02	2.0564E-08
9.3000E+02	2.0679E-08
9.4000E+02	2.0794E-08
9.5000E+02	2.0909E-08
9.6000E+02	2.1024E-08
9.7000E+02	2.1139E-08
9.8000E+02	2.1254E-08
9.9000E+02	2.1369E-08
1.0000E+03	2.1484E-08
1.1000E+03	2.2447E-08
1.2000E+03	2.3411E-08
1.3000E+03	2.4375E-08
1.4000E+03	2.5338E-08
1.5000E+03	2.6302E-08
1.6000E+03	2.7114E-08
1.7000E+03	2.7925E-08
1.8000E+03	2.8737E-08
1.9000E+03	2.9548E-08
2.0000E+03	3.0360E-08
2.1000E+03	3.1010E-08
2.2000E+03	3.1660E-08
2.3000E+03	3.2311E-08
2.4000E+03	3.2961E-08
2.5000E+03	3.3612E-08
2.6000E+03	3.4262E-08
2.7000E+03	3.4913E-08
2.8000E+03	3.5563E-08
2.9000E+03	3.6214E-08
3.0000E+03	3.6864E-08
3.1000E+03	3.7515E-08
3.2000E+03	3.8165E-08
3.3000E+03	3.8815E-08
3.4000E+03	3.9466E-08
3.5000E+03	4.0116E-08
3.6000E+03	4.0635E-08
3.7000E+03	4.1153E-08
3.8000E+03	4.1672E-08
3.9000E+03	4.2190E-08
4.0000E+03	4.2709E-08
4.1000E+03	4.3227E-08
4.2000E+03	4.3746E-08
4.3000E+03	4.4264E-08
4.4000E+03	4.4783E-08
4.5000E+03	4.5301E-08
4.6000E+03	4.5820E-08
4.7000E+03	4.6338E-08
4.8000E+03	4.6857E-08
4.9000E+03	4.7375E-08
5.0000E+03	4.7894E-08
5.1000E+03	4.8320E-08
5.2000E+03	4.8746E-08
5.3000E+03	4.9172E-08
5.4000E+03	4.9598E-08
5.5000E+03	5.0024E-08
5.6000E+03	5.0450E-08
5.7000E+03	5.0877E-08
5.8000E+03	5.1303E-08
5.9000E+03	5.1729E-08
6.0000E+03	5.2155E-08
6.1000E+03	5.2581E-08
6.2000E+03	5.3007E-08
6.3000E+03	5.3433E-08
6.4000E+03	5.3859E-08
6.5000E+03	5.4286E-08
6.6000E+03	5.4712E-08
6.7000E+03	5.5138E-08
6.8000E+03	5.5564E-08
6.9000E+03	5.5990E-08
7.0000E+03	5.6416E-08
7.1000E+03	5.6842E-08
7.2000E+03	5.7268E-08
7.3000E+03	5.7694E-08
7.4000E+03	5.8121E-08
7.5000E+03	5.8547E-08
7.6000E+03	5.8904E-08
7.7000E+03	5.9261E-08
7.8000E+03	5.9618E-08
7.9000E+03	5.9975E-08
8.0000E+03	6.0333E-08
8.1000E+03	6.0690E-08
8.2000E+03	6.1047E-08
8.3000E+03	6.1404E-08
8.4000E+03	6.1761E-08
8.5000E+03	6.2118E-08
8.6000E+03	6.2476E-08
8.7000E+03	6.2833E-08
8.8000E+03	6.3190E-08
8.9000E+03	6.3547E-08
9.0000E+03	6.3904E-08
9.1000E+03	6.4261E-08
9.2000E+03	6.4619E-08
9.3000E+03	6.4976E-08
9.4000E+03	6.5333E-08
9.5000E+03	6.5690E-08
9.6000E+03	6.6047E-08
9.7000E+03	6.6404E-08
9.8000E+03	6.6762E-08
9.9000E+03	6.7119E-08
1.0000E+04	6.7476E-08
1.1000E+04	7.0522E-08
1.2000E+04	7.3568E-08
1.3000E+04	7.6614E-08
1.3750E+04	7.8898E-08
1.4000E+04	7.9555E-08
1.5000E+04	8.2184E-08
1.6000E+04	8.4813E-08
1.7000E+04	8.7442E-08
1.7500E+04	8.8757E-08
1.8000E+04	8.9872E-08
1.9000E+04	9.2102E-08
2.0000E+04	9.4332E-08
2.1000E+04	9.6562E-08
2.2000E+04	9.8793E-08
2.3000E+04	1.0102E-07
2.4000E+04	1.0325E-07
2.5000E+04	1.0548E-07
2.6000E+04	1.0749E-07
2.6204E+04	1.0790E-07
2.6828E+04	1.0913E-07
2.7000E+04	1.0946E-07
2.7466E+04	1.1037E-07
2.8000E+04	1.1140E-07
2.8120E+04	1.1163E-07
2.8789E+04	1.1290E-07
2.9000E+04	1.1330E-07
2.9474E+04	1.1419E-07
3.0000E+04	1.1516E-07
3.0176E+04	1.1549E-07
3.0894E+04	1.1680E-07
3.1000E+04	1.1699E-07
3.1629E+04	1.1812E-07
3.2000E+04	1.1878E-07
3.2382E+04	1.1946E-07
3.3000E+04	1.2054E-07
3.3152E+04	1.2081E-07
3.3941E+04	1.2218E-07
3.4000E+04	1.2228E-07
3.4749E+04	1.2356E-07
3.5000E+04	1.2398E-07
3.5576E+04	1.2495E-07
3.6000E+04	1.2566E-07
3.6423E+04	1.2636E-07
3.7000E+04	1.2731E-07
3.7289E+04	1.2778E-07
3.8000E+04	1.2893E-07
3.8177E+04	1.2922E-07
3.9000E+04	1.3053E-07
3.9085E+04	1.3067E-07
4.0000E+04	1.3211E-07
4.0016E+04	1.3213E-07
4.0968E+04	1.3361E-07
4.1000E+04	1.3366E-07
4.1943E+04	1.3511E-07
4.2000E+04	1.3519E-07
4.2941E+04	1.3662E-07
4.3000E+04	1.3671E-07
4.3963E+04	1.3814E-07
4.4000E+04	1.3820E-07
4.5000E+04	1.3967E-07
4.5009E+04	1.3968E-07
4.6000E+04	1.4112E-07
4.6080E+04	1.4123E-07
4.7000E+04	1.4255E-07
4.7177E+04	1.4280E-07
4.8000E+04	1.4396E-07
4.8300E+04	1.4438E-07
4.9000E+04	1.4536E-07
4.9449E+04	1.4598E-07
5.0000E+04	1.4674E-07
5.0626E+04	1.4759E-07
5.1000E+04	1.4810E-07
5.1831E+04	1.4922E-07
5.2000E+04	1.4945E-07
5.3000E+04	1.5078E-07
5.3064E+04	1.5087E-07
5.4000E+04	1.5210E-07
5.4327E+04	1.5252E-07
5.5000E+04	1.5340E-07
5.5620E+04	1.5420E-07
5.6000E+04	1.5468E-07
5.6944E+04	1.5589E-07
5.7000E+04	1.5596E-07
5.8000E+04	1.5721E-07
5.8299E+04	1.5759E-07
5.9000E+04	1.5846E-07
5.9686E+04	1.5931E-07
6.0000E+04	1.5969E-07
6.1000E+04	1.6091E-07
6.1107E+04	1.6104E-07
6.2000E+04	1.6212E-07
6.2561E+04	1.6279E-07
6.3000E+04	1.6332E-07
6.4000E+04	1.6450E-07
6.4050E+04	1.6456E-07
6.5000E+04	1.6567E-07
6.5574E+04	1.6634E-07
6.6000E+04	1.6683E-07
6.7000E+04	1.6798E-07
6.7135E+04	1.6814E-07
6.8000E+04	1.6912E-07
6.8732E+04	1.6995E-07
6.9000E+04	1.7025E-07
7.0000E+04	1.7136E-07
7.0368E+04	1.7177E-07
7.1000E+04	1.7247E-07
7.2000E+04	1.7357E-07
7.2043E+04	1.7361E-07
7.3000E+04	1.7465E-07
7.3757E+04	1.7547E-07
7.4000E+04	1.7573E-07
7.5000E+04	1.7679E-07
7.5513E+04	1.7734E-07
7.6000E+04	1.7785E-07
7.7000E+04	1.7890E-07
7.7310E+04	1.7923E-07
7.8000E+04	1.7994E-07
7.9000E+04	1.8097E-07
7.9149E+04	1.8113E-07
8.0000E+04	1.8199E-07
8.1000E+04	1.8301E-07
8.1033E+04	1.8304E-07
8.2000E+04	1.8401E-07
8.2962E+04	1.8497E-07
8.3000E+04	1.8501E-07
8.4000E+04	1.8600E-07
8.4936E+04	1.8692E-07
8.5000E+04	1.8698E-07
8.6000E+04	1.8795E-07
8.6957E+04	1.8888E-07
8.7000E+04	1.8892E-07
8.8000E+04	1.8988E-07
8.9000E+04	1.9083E-07
8.9027E+04	1.9086E-07
9.0000E+04	1.9177E-07
9.1000E+04	1.9271E-07
9.1145E+04	1.9284E-07
9.2000E+04	1.9363E-07
9.3000E+04	1.9456E-07
9.3314E+04	1.9485E-07
9.4000E+04	1.9547E-07
9.5000E+04	1.9638E-07
9.5535E+04	1.9687E-07
9.6000E+04	1.9728E-07
9.7000E+04	1.9817E-07
9.7809E+04	1.9890E-07
9.8000E+04	1.9906E-07
9.9000E+04	1.9994E-07
1.0000E+05	2.0082E-07
1.0014E+05	2.0094E-07
1.0252E+05	2.0300E-07
1.0496E+05	2.0507E-07
1.0746E+05	2.0716E-07
1.1000E+05	2.0924E-07
1.1001E+05	2.0925E-07
1.1263E+05	2.1137E-07
1.1531E+05	2.1349E-07
1.1806E+05	2.1562E-07
1.2000E+05	2.1711E-07
1.2087E+05	2.1777E-07
1.2374E+05	2.1993E-07
1.2669E+05	2.2210E-07
1.2970E+05	2.2428E-07
1.3000E+05	2.2449E-07
1.3279E+05	2.2647E-07
1.3595E+05	2.2868E-07
1.3919E+05	2.3089E-07
1.4000E+05	2.3143E-07
1.4250E+05	2.3311E-07
1.4589E+05	2.3534E-07
1.4936E+05	2.3758E-07
1.5000E+05	2.3798E-07
1.5292E+05	2.3982E-07
1.5656E+05	2.4208E-07
1.6000E+05	2.4417E-07
1.6028E+05	2.4434E-07
1.6410E+05	2.4661E-07
1.6800E+05	2.4888E-07
1.7000E+05	2.5002E-07
1.7200E+05	2.5116E-07
1.7609E+05	2.5345E-07
1.8000E+05	2.5558E-07
1.8028E+05	2.5573E-07
1.8457E+05	2.5803E-07
1.8897E+05	2.6032E-07
1.9000E+05	2.6085E-07
1.9346E+05	2.6262E-07
1.9807E+05	2.6491E-07
2.0000E+05	2.6586E-07
2.0278E+05	2.6721E-07
2.0761E+05	2.6951E-07
2.1000E+05	2.7062E-07
2.1255E+05	2.7180E-07
2.1761E+05	2.7410E-07
2.2000E+05	2.7516E-07
2.2278E+05	2.7639E-07
2.2809E+05	2.7868E-07
2.3000E+05	2.7948E-07
2.3351E+05	2.8096E-07
2.3907E+05	2.8323E-07
2.4000E+05	2.8360E-07
2.4476E+05	2.8550E-07
2.5000E+05	2.8753E-07
2.5059E+05	2.8776E-07
2.5655E+05	2.9001E-07
2.6000E+05	2.9128E-07
2.6265E+05	2.9225E-07
2.6891E+05	2.9448E-07
2.7000E+05	2.9486E-07
2.7530E+05	2.9670E-07
2.8000E+05	2.9828E-07
2.8186E+05	2.9890E-07
2.8856E+05	3.0108E-07
2.9000E+05	3.0154E-07
2.9543E+05	3.0325E-07
3.0000E+05	3.0465E-07
3.0246E+05	3.0540E-07
3.0966E+05	3.0753E-07
3.1000E+05	3.0763E-07
3.1703E+05	3.0964E-07
3.2000E+05	3.1046E-07
3.2457E+05	3.1173E-07
3.3000E+05	3.1318E-07
3.3230E+05	3.1379E-07
3.4000E+05	3.1577E-07
3.4021E+05	3.1583E-07
3.4830E+05	3.1783E-07
3.5000E+05	3.1824E-07
3.5659E+05	3.1981E-07
3.6000E+05	3.2059E-07
3.6508E+05	3.2176E-07
3.7000E+05	3.2284E-07
3.7377E+05	3.2367E-07
3.8000E+05	3.2499E-07
3.8266E+05	3.2555E-07
3.9000E+05	3.2704E-07
3.9177E+05	3.2739E-07
4.0000E+05	3.2898E-07
4.0109E+05	3.2920E-07
4.1000E+05	3.3084E-07
4.1064E+05	3.3096E-07
4.2000E+05	3.3261E-07
4.2041E+05	3.3268E-07
4.3000E+05	3.3428E-07
4.3042E+05	3.3435E-07
4.4000E+05	3.3587E-07
4.4066E+05	3.3598E-07
4.5000E+05	3.3738E-07
4.5115E+05	3.3756E-07
4.6000E+05	3.3882E-07
4.6188E+05	3.3908E-07
4.7000E+05	3.4017E-07
4.7287E+05	3.4056E-07
4.8000E+05	3.4145E-07
4.8413E+05	3.4197E-07
4.9000E+05	3.4267E-07
4.9565E+05	3.4333E-07
5.0000E+05	3.4381E-07
5.0745E+05	3.4463E-07
5.1000E+05	3.4489E-07
5.1952E+05	3.4586E-07
5.2000E+05	3.4591E-07
5.3000E+05	3.4686E-07
5.3189E+05	3.4703E-07
5.4000E+05	3.4774E-07
5.4454E+05	3.4813E-07
5.5000E+05	3.4857E-07
5.5750E+05	3.4917E-07
5.6000E+05	3.4935E-07
5.7000E+05	3.5007E-07
5.7077E+05	3.5012E-07
5.8000E+05	3.5072E-07
5.8435E+05	3.5101E-07
5.9000E+05	3.5133E-07
5.9826E+05	3.5181E-07
6.0000E+05	3.5190E-07
6.1000E+05	3.5241E-07
6.1250E+05	3.5253E-07
6.2000E+05	3.5286E-07
6.2707E+05	3.5317E-07
6.3000E+05	3.5328E-07
6.4000E+05	3.5365E-07
6.4200E+05	3.5373E-07
6.5000E+05	3.5397E-07
6.5728E+05	3.5419E-07
6.6000E+05	3.5426E-07
6.7000E+05	3.5450E-07
6.7292E+05	3.5457E-07
6.8000E+05	3.5469E-07
6.8893E+05	3.5485E-07
6.9000E+05	3.5486E-07
7.0000E+05	3.5497E-07
7.0533E+05	3.5503E-07
7.1000E+05	3.5505E-07
7.2000E+05	3.5511E-07
7.2211E+05	3.5512E-07
7.3000E+05	3.5511E-07
7.3930E+05	3.5510E-07
7.4000E+05	3.5509E-07
7.5000E+05	3.5503E-07
7.5689E+05	3.5498E-07
7.6000E+05	3.5494E-07
7.7000E+05	3.5481E-07
7.7490E+05	3.5475E-07
7.8000E+05	3.5466E-07
7.9000E+05	3.5447E-07
7.9335E+05	3.5441E-07
8.0000E+05	3.5425E-07
8.1000E+05	3.5402E-07
8.1223E+05	3.5396E-07
8.2000E+05	3.5374E-07
8.3000E+05	3.5345E-07
8.3156E+05	3.5340E-07
8.4000E+05	3.5311E-07
8.5000E+05	3.5277E-07
8.5135E+05	3.5272E-07
8.6000E+05	3.5238E-07
8.7000E+05	3.5199E-07
8.7161E+05	3.5192E-07
8.8000E+05	3.5155E-07
8.9000E+05	3.5111E-07
8.9235E+05	3.5100E-07
9.0000E+05	3.5063E-07
9.1000E+05	3.5013E-07
9.1359E+05	3.4996E-07
9.2000E+05	3.4961E-07
9.3000E+05	3.4907E-07
9.3533E+05	3.4879E-07
9.4000E+05	3.4852E-07
9.5000E+05	3.4793E-07
9.5759E+05	3.4749E-07
9.6000E+05	3.4734E-07
9.7000E+05	3.4671E-07
9.8000E+05	3.4609E-07
9.8038E+05	3.4606E-07
9.9000E+05	3.4542E-07
1.0000E+06	3.4475E-07
1.0037E+06	3.4451E-07
1.0276E+06	3.4281E-07
1.0521E+06	3.4099E-07
1.0771E+06	3.3903E-07
1.1000E+06	3.3715E-07
1.1027E+06	3.3693E-07
1.1290E+06	3.3469E-07
1.1558E+06	3.3231E-07
1.1833E+06	3.2979E-07
1.2000E+06	3.2822E-07
1.2115E+06	3.2713E-07
1.2403E+06	3.2433E-07
1.2699E+06	3.2139E-07
1.3000E+06	3.1832E-07
1.3001E+06	3.1831E-07
1.3310E+06	3.1508E-07
1.3627E+06	3.1172E-07
1.3951E+06	3.0821E-07
1.4000E+06	3.0768E-07
1.4283E+06	3.0457E-07
1.4623E+06	3.0079E-07
1.4971E+06	2.9687E-07
1.5000E+06	2.9654E-07
1.5327E+06	2.9281E-07
1.5692E+06	2.8863E-07
1.6000E+06	2.8507E-07
1.6066E+06	2.8432E-07
1.6448E+06	2.7987E-07
1.6839E+06	2.7531E-07
1.7000E+06	2.7343E-07
1.7240E+06	2.7062E-07
1.7650E+06	2.6582E-07
1.8000E+06	2.6173E-07
1.8070E+06	2.6090E-07
1.8501E+06	2.5588E-07
1.8941E+06	2.5075E-07
1.9000E+06	2.5006E-07
1.9392E+06	2.4552E-07
1.9853E+06	2.4020E-07
2.0000E+06	2.3852E-07
2.0326E+06	2.3480E-07
2.0809E+06	2.2931E-07
2.1000E+06	2.2716E-07
2.1304E+06	2.2374E-07
2.1811E+06	2.1811E-07
2.2000E+06	2.1604E-07
2.2331E+06	2.1241E-07
2.2862E+06	2.0666E-07
2.3000E+06	2.0519E-07
2.3406E+06	2.0087E-07
2.3963E+06	1.9503E-07
2.4000E+06	1.9465E-07
2.4533E+06	1.8916E-07
2.5000E+06	1.8445E-07
2.5117E+06	1.8327E-07
2.5715E+06	1.7736E-07
2.6000E+06	1.7461E-07
2.6327E+06	1.7145E-07
2.6953E+06	1.6553E-07
