E	chi
1.4600E+07	3.4798E-11
1.4800E+07	3.0303E-11
1.4950E+07	2.6933E-11
1.5000E+07	2.6062E-11
1.5200E+07	2.2580E-11
1.5300E+07	2.0839E-11
1.5400E+07	1.9494E-11
1.5600E+07	1.6802E-11
1.5650E+07	1.6129E-11
1.5800E+07	1.4566E-11
1.6000E+07	1.2481E-11
1.6200E+07	1.0869E-11
1.6350E+07	9.6597E-12
1.6400E+07	9.3475E-12
1.6600E+07	8.0989E-12
1.6700E+07	7.4746E-12
1.6800E+07	6.9919E-12
1.7000E+07	6.0264E-12
1.7050E+07	5.7851E-12
1.7200E+07	5.2242E-12
1.7400E+07	4.4764E-12
1.7600E+07	3.8982E-12
1.7750E+07	3.4646E-12
1.7800E+07	3.3526E-12
1.8000E+07	2.9048E-12
1.8100E+07	2.6809E-12
1.8200E+07	2.5078E-12
1.8400E+07	2.1614E-12
1.8450E+07	2.0749E-12
1.8600E+07	1.8737E-12
1.8800E+07	1.6055E-12
1.9000E+07	1.3982E-12
1.9150E+07	1.2426E-12
1.9200E+07	1.2025E-12
1.9400E+07	1.0419E-12
1.9500E+07	9.6156E-13
1.9600E+07	8.9722E-13
1.9750E+07	8.0070E-13
1.9800E+07	7.7391E-13
2.0000E+07	6.6671E-13
2.0200E+07	5.7748E-13
2.0250E+07	5.5517E-13
2.0400E+07	4.9943E-13
2.0500E+07	4.6226E-13
2.0600E+07	4.3133E-13
2.0750E+07	3.8494E-13
2.0800E+07	3.7205E-13
2.1000E+07	3.2052E-13
2.1200E+07	2.7762E-13
2.1250E+07	2.6690E-13
2.1400E+07	2.4010E-13
2.1500E+07	2.2223E-13
2.1600E+07	2.0736E-13
2.1750E+07	1.8505E-13
2.1800E+07	1.7886E-13
2.2000E+07	1.5408E-13
2.2200E+07	1.3346E-13
2.2250E+07	1.2831E-13
2.2400E+07	1.1542E-13
2.2500E+07	1.0684E-13
2.2600E+07	9.9688E-14
2.2750E+07	8.8966E-14
2.2800E+07	8.5989E-14
2.3000E+07	7.4080E-14
2.3200E+07	6.4166E-14
2.3250E+07	6.1687E-14
2.3400E+07	5.5493E-14
2.3500E+07	5.1364E-14
2.3600E+07	4.7927E-14
2.3750E+07	4.2771E-14
2.3800E+07	4.1340E-14
2.4000E+07	3.5614E-14
2.4200E+07	3.0847E-14
2.4250E+07	2.9656E-14
2.4400E+07	2.6678E-14
2.4500E+07	2.4693E-14
2.4600E+07	2.3041E-14
2.4750E+07	2.0562E-14
2.4800E+07	1.9874E-14
2.5000E+07	1.7121E-14
2.5200E+07	1.4830E-14
2.5250E+07	1.4257E-14
2.5400E+07	1.2826E-14
2.5500E+07	1.1872E-14
2.5600E+07	1.1077E-14
2.5750E+07	9.8855E-15
2.5800E+07	9.5547E-15
2.6000E+07	8.2313E-15
2.6200E+07	7.1297E-15
2.6250E+07	6.8543E-15
2.6400E+07	6.1661E-15
2.6500E+07	5.7073E-15
2.6600E+07	5.3254E-15
2.6750E+07	4.7525E-15
2.6800E+07	4.5935E-15
2.7000E+07	3.9573E-15
2.7200E+07	3.4276E-15
2.7250E+07	3.2952E-15
2.7400E+07	2.9644E-15
2.7500E+07	2.7438E-15
2.7600E+07	2.5602E-15
2.7750E+07	2.2848E-15
2.7800E+07	2.2083E-15
2.8000E+07	1.9024E-15
2.8200E+07	1.6478E-15
2.8250E+07	1.5841E-15
2.8400E+07	1.4251E-15
2.8500E+07	1.3191E-15
2.8600E+07	1.2308E-15
2.8750E+07	1.0984E-15
2.8800E+07	1.0616E-15
2.9000E+07	9.1462E-16
2.9200E+07	7.9220E-16
2.9250E+07	7.6160E-16
2.9400E+07	6.8514E-16
2.9500E+07	6.3416E-16
2.9600E+07	5.9172E-16
2.9750E+07	5.2807E-16
2.9800E+07	5.1039E-16
3.0000E+07	4.3970E-16

