,0,1,2,3,4,5,6,7,8,9,10
0,1.0,10.0,100.0,1000.0,10000.0,100000.0,1000000.0,10000000.0,100000000.0,1000000000.0,10000000000.0
1,3.231013824303378,3.2308057718924283,3.2299734518413206,3.2293847714894244,3.229287860219076,3.229277537376084,3.229276498355861,3.2292763943860336,3.2292763839883722,3.2292763829485986,3.2292763828446223
2,3.421622863348675,3.4209948623016686,3.4189186204859503,3.417753683250863,3.4175799726713545,3.4175617365922344,3.417559903886503,3.41755972052448,3.4175597021873627,3.4175597003536415,3.41755970017027
3,3.664476928451484,3.6640550204758706,3.6628408478284324,3.6622520767608164,3.6621688141818534,3.662160136118124,3.6621592646349526,3.6621591774497007,3.6621591687308057,3.662159167858912,3.6621591677717236
4,3.6091451862854416,3.6107330694921616,3.614195884741399,3.6154725904788676,3.6156373866345746,3.615654357798128,3.6156560599943943,3.6156562302649906,3.61565624729256,3.615656248995322,3.615656249165599
5,2.8987457575470907,2.909876837160938,2.926718411250981,2.9313654074038573,2.931921412312173,2.931978145848068,2.931983830819559,2.9319843994331842,2.931984456295712,2.9319844619819766,2.9319844625506026
6,2.0546260866533568,2.0614464735070555,2.0687609004883543,2.0704456387900714,2.0706414074468595,2.0706613225168464,2.07066331749258,2.0706635170249306,2.070663536978513,2.070663538973875,2.070663539173411
7,1.635196711086752,1.6384382077228683,1.640990984494259,1.64152641127055,1.6415882751575264,1.6415945665196363,1.6415951967349571,1.6415952597673102,1.6415952660706543,1.6415952667009897,1.641595266764023
8,1.2724826364261643,1.276814349966162,1.2791335308034617,1.2795515893147538,1.2795988161818264,1.2796036074450827,1.2796040872766674,1.2796041352668985,1.2796041400659928,1.2796041405459029,1.2796041405938938
9,0.9244590563775579,0.9292880449634873,0.9311346158831267,0.9314339582530295,0.9314672626426029,0.931470635916389,0.9314709736845479,0.9314710074657847,0.9314710108439525,0.9314710111817697,0.9314710112155515
10,0.6112897807498405,0.6154229544660834,0.6165914177714291,0.6167701032101819,0.6167898579590387,0.6167918575628419,0.6167920577716932,0.6167920777950704,0.6167920797974331,0.6167920799976696,0.6167920800176934
11,0.4089156068673812,0.41021053273571295,0.4105282553282789,0.4105783945222645,0.4105839989364909,0.41058456698477297,0.4105846238679928,0.4105846295571011,0.4105846301260198,0.41058463018291175,0.410584630188601
12,0.4235307053267165,0.4239756261922009,0.4239788837248934,0.42397006704593454,0.42396887736848476,0.4239687544128301,0.4239687420761458,0.42396874084206504,0.42396874071865276,0.4239687407063115,0.4239687407050773
13,0.4791248798472566,0.4935078572438417,0.515751884090627,0.5229308876553055,0.5238538665766924,0.5239490098447888,0.5239585538000546,0.5239595084930991,0.52395960396538,0.5239596135126379,0.523959614467364
14,0.5161097923230136,0.5551298604891863,0.6226651684461901,0.6475123109170524,0.6508901986486849,0.6512414080349687,0.6512766705243447,0.651280198196633,0.6512805509781033,0.6512805862563928,0.651280589784223
15,0.5400611841657005,0.6018401528221804,0.7226492443145333,0.7781939943042027,0.7868119050875928,0.7877301852881862,0.7878226327833329,0.7878318837888335,0.7878328089520055,0.787832901468949,0.7878329107206494
16,0.5411522253783937,0.6095877847566082,0.77382410637517,0.8704778309726655,0.887862770660582,0.889772095873188,0.8899649736339951,0.889984281138515,0.8899862120865321,0.8899864051833098,0.889986424493007
17,0.5965895850029718,0.7170395733820865,1.0322288816401886,1.2783755700112922,1.3334216336000906,1.3398301804210677,1.3404822571358583,1.340547579869937,1.3405541132969014,1.3405547666511368,1.3405548319866758
18,0.4808821084244854,0.5892041946755034,0.9724338947101787,1.4061683900775384,1.5414289329715927,1.55893518569051,1.5607414073733095,1.5609226085313772,1.5609407344611894,1.5609425471123346,1.5609427283780313
19,0.6366204863676873,0.8036821874803343,1.3909589399493296,2.124982629011559,2.3954441811936866,2.433240990199323,2.437187439042654,2.4375838498015168,2.4376235086410993,2.4376274747028006,2.4376278713107475
20,0.6340159255694414,0.826667217590945,1.644269012002517,2.7219390305407085,3.069792548825189,3.114793708911818,3.1194359554552094,3.119901660067564,3.11994824538988,3.119952904070784,3.1199533699403608
21,0.7266643351483357,0.9339690311275629,1.963830137551669,4.562539317077441,6.869537621594566,7.511221216104146,7.591995834547888,7.600299091022082,7.6011317585722145,7.601215048833667,7.601223378094967
22,1.0315497681019603,1.441458513137325,3.127580536311949,7.858004938908627,14.39695962402991,16.83248468049862,17.1624363143412,17.196669533219392,17.200105786287278,17.200449541482847,17.200483918301867
23,0.701691261396687,1.1723273734126238,2.8482375976300003,9.084282396252362,19.943802177244788,23.93884640196032,24.460215353419635,24.513981651576714,24.519375131497508,24.519914648566516,24.519968601964777
24,1.258640407379625,2.4951193284273274,6.247221357398239,17.958604220717266,47.81905020726629,69.81430917185054,73.8523956098704,74.2922106678263,74.33658784494126,74.34102955867861,74.34147377005242
25,1.5314611070192274,3.154103166624778,8.804174030141063,29.63207839524169,81.71028826113026,114.38410538558583,119.79745770062345,120.37614260987336,120.43441292989368,120.44024401077108,120.44082715937856
26,0.42265555734655913,0.4489416752632304,0.46954050491685956,0.4732340309019064,0.4736325673745213,0.47367261480773015,0.4736766147476001,0.4736770146378279,0.4736770546257115,0.4736770586244883,0.4736770590243657
27,2.0445988235217145,4.070866095365826,11.253937306903627,38.380510510019846,102.14331006867702,137.28741491145522,142.7079982450411,143.28062096138538,143.33820767247803,143.34396960798304,143.34454583419782
28,0.6303662673159435,0.6316399384658704,0.631752120096237,0.6317633946531012,0.631764569304069,0.6317646995648418,0.6317647133624179,0.6317647147546961,0.6317647148940573,0.6317647149079948,0.6317647149093886
29,0.5064023748757683,0.5065058178622983,0.5065049812703364,0.5065048062382513,0.506504814142246,0.5065048221784301,0.5065048234196287,0.5065048235508508,0.5065048235640487,0.5065048235653692,0.5065048235655014
30,0.4571010649658015,0.4570670960604882,0.4570597306699044,0.4570589557020246,0.4570588833236232,0.4570588775979392,0.45705887711678866,0.45705887707015763,0.45705887706551035,0.45705887706504583,0.45705887706499915
31,0.44603254623802396,0.44605705503159543,0.44606109126970866,0.4460615121613117,0.44606155282293486,0.4460615564488456,0.44606155678478776,0.4460615568179495,0.44606155682126103,0.44606155682159204,0.4460615568216253
32,0.4573386828432881,0.45737176339188496,0.45737701244198664,0.45737755944858743,0.4573776126910586,0.4573776175538311,0.45737761801215465,0.4573776180575332,0.4573776180620661,0.4573776180625195,0.4573776180625648
33,0.47028512614442447,0.47032151128479854,0.47032722240073055,0.4703278209003359,0.47032787955196387,0.47032788501027945,0.47032788553141985,0.4703278855831331,0.4703278855883001,0.4703278855888168,0.4703278855888684
34,0.4798208209163707,0.47982277275070384,0.47982307499629845,0.4798231064702571,0.4798231095621227,0.47982310985255616,0.47982310988046156,0.4798231098832336,0.4798231098835107,0.4798231098835384,0.4798231098835411
35,0.48273017261923357,0.4827310859783212,0.4827312262946435,0.48273124091052466,0.48273124234732284,0.48273124248255417,0.48273124249556454,0.4827312424968571,0.4827312424969863,0.4827312424969993,0.4827312424970006
36,0.4857152822986805,0.4857174702323141,0.485717804569708,0.48571783940761964,0.48571784283473485,0.4857178431579378,0.48571784318907374,0.4857178431921681,0.4857178431924774,0.4857178431925082,0.48571784319251127
37,0.4887688577290172,0.4887698975936661,0.48877005592438083,0.4887700724283333,0.48877007405303297,0.4887700742065619,0.4887700742213719,0.4887700742228442,0.48877007422299096,0.4887700742230059,0.48877007422300744
38,0.49189792627371354,0.4919003522597982,0.4919007208006316,0.4919007592304023,0.49190076301627056,0.4919007633747475,0.49190076340937366,0.49190076341281647,0.4919007634131606,0.49190076341319494,0.49190076341319866
