E	sigma_t	sigma_s
4.69125000E-02	1.12030900E+01	9.22768400E+00
5.00000000E-02	1.11406700E+01	9.22660000E+00
5.31250000E-02	1.10831300E+01	9.22558100E+00
5.62500000E-02	1.10304800E+01	9.22462600E+00
5.93750000E-02	1.09821300E+01	9.22372500E+00
6.25000000E-02	1.09375800E+01	9.22287100E+00
6.87500000E-02	1.08575900E+01	9.22127400E+00
7.50000000E-02	1.07875100E+01	9.21979800E+00
8.12500000E-02	1.07256400E+01	9.21841300E+00
8.75000000E-02	1.06705000E+01	9.21709900E+00
9.37500000E-02	1.06209500E+01	9.21584200E+00
1.00000000E-01	1.05761000E+01	9.21463200E+00
1.06250000E-01	1.05352400E+01	9.21346100E+00
1.12500000E-01	1.04978000E+01	9.21232100E+00
1.18750000E-01	1.04633700E+01	9.21120800E+00
1.25000000E-01	1.04317000E+01	9.21011600E+00
1.37500000E-01	1.03746800E+01	9.20798900E+00
1.50000000E-01	1.03245900E+01	9.20591900E+00
1.62500000E-01	1.02803000E+01	9.20389200E+00
1.75000000E-01	1.02407400E+01	9.20189900E+00
1.87500000E-01	1.02051100E+01	9.19993200E+00
2.00000000E-01	1.01729000E+01	9.19798600E+00
2.18750000E-01	1.01296300E+01	9.19509600E+00
2.37500000E-01	1.00912800E+01	9.19223400E+00
2.56250000E-01	1.00570400E+01	9.18939000E+00
2.75000000E-01	1.00262000E+01	9.18656100E+00
2.93750000E-01	9.99819300E+00	9.18374300E+00
3.12500000E-01	9.97259400E+00	9.18093000E+00
3.31250000E-01	9.94905400E+00	9.17812300E+00
3.50000000E-01	9.92741200E+00	9.17531700E+00
3.87500000E-01	9.88842600E+00	9.16970800E+00
4.25000000E-01	9.85410900E+00	9.16409400E+00
5.00000000E-01	9.79626400E+00	9.15282500E+00
6.25000000E-01	9.72092900E+00	9.13385400E+00
7.50000000E-01	9.66189500E+00	9.11456800E+00
8.75000000E-01	9.61314100E+00	9.09490400E+00
1.00000000E+00	9.57121400E+00	9.07482000E+00
1.25000000E+00	9.50039900E+00	9.03323500E+00
1.50000000E+00	9.44053200E+00	8.98947400E+00
1.75000000E+00	9.38729500E+00	8.94314700E+00
2.00000000E+00	9.33832200E+00	8.89384100E+00
2.29952900E+00	9.28335900E+00	8.83018400E+00
2.59905800E+00	9.23130500E+00	8.76049600E+00
2.89858700E+00	9.18163300E+00	8.68338300E+00
3.19811500E+00	9.13447200E+00	8.59701400E+00
3.48360400E+00	9.09271200E+00	8.50377300E+00
3.76909200E+00	9.05606100E+00	8.39679300E+00
3.91183700E+00	9.04064400E+00	8.33742800E+00
4.05458100E+00	9.02912300E+00	8.27248700E+00
