E	sigma_t	sigma_s
9.07048300E+02	1.72890800E+01	1.45912100E+01
9.07110600E+02	1.72008600E+01	1.43759000E+01
9.07177100E+02	1.70828700E+01	1.41665600E+01
9.07222800E+02	1.69813400E+01	1.40330000E+01
9.07247700E+02	1.69178300E+01	1.39633500E+01
9.07268800E+02	1.68592100E+01	1.39059100E+01
9.07271600E+02	1.68510900E+01	1.38983900E+01
9.07279800E+02	1.68268500E+01	1.38765200E+01
9.07288000E+02	1.68019200E+01	1.38548400E+01
9.07307600E+02	1.67395200E+01	1.38038400E+01
9.07315000E+02	1.67149300E+01	1.37848700E+01
9.07327200E+02	1.66731400E+01	1.37539200E+01
9.07351700E+02	1.65845900E+01	1.36929900E+01
9.07381200E+02	1.64699100E+01	1.36216600E+01
9.07449900E+02	1.61708100E+01	1.34635400E+01
9.07518500E+02	1.58337300E+01	1.33157500E+01
9.07636300E+02	1.51965400E+01	1.30825900E+01
9.07754000E+02	1.45407300E+01	1.28724500E+01
9.07822700E+02	1.41731000E+01	1.27591900E+01
9.07891400E+02	1.38284900E+01	1.26522600E+01
9.07960100E+02	1.35134900E+01	1.25512300E+01
9.08028800E+02	1.32319300E+01	1.24556900E+01
9.08063200E+02	1.31040500E+01	1.24097900E+01
9.08097500E+02	1.29852500E+01	1.23652500E+01
9.08131900E+02	1.28747100E+01	1.23217700E+01
9.08166200E+02	1.27728800E+01	1.22795400E+01
9.08200600E+02	1.26789000E+01	1.22382900E+01
9.08234900E+02	1.25929900E+01	1.21982100E+01
9.08269200E+02	1.25145700E+01	1.21591400E+01
9.08303500E+02	1.24433100E+01	1.21210500E+01
9.08337900E+02	1.23787300E+01	1.20837900E+01
9.08372200E+02	1.23209700E+01	1.20475500E+01
9.08406600E+02	1.22694700E+01	1.20121000E+01
9.08440900E+02	1.22244000E+01	1.19776000E+01
9.08475300E+02	1.21854500E+01	1.19438500E+01
9.08509600E+02	1.21528700E+01	1.19110100E+01
9.08544000E+02	1.21266000E+01	1.18788800E+01
9.08578300E+02	1.21070300E+01	1.18476300E+01
9.08612700E+02	1.20943500E+01	1.18170800E+01
9.08647000E+02	1.20890600E+01	1.17874000E+01
9.08681400E+02	1.20916400E+01	1.17584100E+01
9.08715700E+02	1.21026600E+01	1.17302900E+01
9.08750100E+02	1.21228700E+01	1.17028600E+01
9.08784400E+02	1.21528500E+01	1.16763100E+01
9.08818700E+02	1.21933900E+01	1.16505400E+01
9.08853000E+02	1.22452500E+01	1.16255800E+01
9.08892300E+02	1.23195400E+01	1.15979700E+01
9.08931500E+02	1.24104300E+01	1.15715000E+01
9.08970800E+02	1.25192700E+01	1.15460300E+01
9.09010000E+02	1.26461600E+01	1.15217100E+01
9.09049300E+02	1.27921100E+01	1.14983900E+01
9.09088500E+02	1.29563800E+01	1.14761800E+01
9.09167000E+02	1.33392400E+01	1.14347400E+01
9.09225900E+02	1.36687500E+01	1.14061000E+01
9.09284800E+02	1.40265700E+01	1.13792900E+01
9.09402500E+02	1.47829300E+01	1.13297900E+01
9.09500700E+02	1.53884900E+01	1.12905400E+01
9.09598800E+02	1.58903700E+01	1.12507400E+01
9.09647900E+02	1.60800000E+01	1.12299000E+01
9.09696900E+02	1.62179600E+01	1.12081600E+01
9.09750900E+02	1.63037400E+01	1.11829100E+01
9.09777900E+02	1.63189700E+01	1.11697100E+01
9.09795000E+02	1.63188200E+01	1.11611600E+01
9.09806600E+02	1.63143600E+01	1.11552600E+01
9.09825600E+02	1.62994600E+01	1.11454400E+01
9.09846300E+02	1.62724900E+01	1.11345100E+01
9.09885500E+02	1.61912100E+01	1.11131700E+01
9.09893000E+02	1.61712400E+01	1.11090000E+01
9.09915400E+02	1.61033700E+01	1.10963500E+01
9.09964000E+02	1.59156100E+01	1.10680700E+01
9.10012600E+02	1.56772300E+01	1.10387400E+01
9.10079900E+02	1.52771400E+01	1.09967600E+01
9.10147100E+02	1.48171500E+01	1.09538100E+01
9.10356500E+02	1.32582600E+01	1.08204800E+01
9.10416300E+02	1.28411500E+01	1.07842400E+01
9.10461200E+02	1.25489400E+01	1.07579200E+01
9.10506000E+02	1.22783800E+01	1.07324800E+01
9.10550900E+02	1.20300200E+01	1.07078700E+01
9.10595700E+02	1.18058000E+01	1.06842000E+01
9.10640600E+02	1.16048000E+01	1.06613800E+01
9.10685400E+02	1.14273200E+01	1.06394800E+01
9.10730300E+02	1.12714300E+01	1.06183700E+01
9.10775100E+02	1.11363400E+01	1.05980900E+01
9.10820000E+02	1.10196400E+01	1.05784900E+01
9.10864900E+02	1.09197200E+01	1.05595700E+01
9.10887400E+02	1.08753400E+01	1.05503300E+01
9.10909800E+02	1.08346100E+01	1.05412700E+01
9.10932200E+02	1.07970600E+01	1.05323500E+01
9.10954600E+02	1.07624800E+01	1.05235500E+01
9.10977100E+02	1.07304900E+01	1.05148500E+01
9.10999500E+02	1.07011600E+01	1.05062900E+01
9.11021900E+02	1.06741300E+01	1.04978500E+01
9.11044300E+02	1.06492100E+01	1.04895100E+01
9.11066800E+02	1.06261100E+01	1.04812400E+01
9.11089200E+02	1.06048500E+01	1.04730900E+01
9.11111600E+02	1.05851600E+01	1.04650300E+01
9.11134000E+02	1.05669000E+01	1.04570500E+01
9.11156500E+02	1.05498400E+01	1.04491200E+01
9.11178900E+02	1.05340100E+01	1.04412900E+01
9.11223700E+02	1.05053300E+01	1.04258400E+01
9.11268600E+02	1.04798700E+01	1.04106100E+01
9.11313400E+02	1.04570700E+01	1.03956400E+01
9.11358300E+02	1.04362500E+01	1.03808500E+01
9.11403100E+02	1.04170700E+01	1.03662800E+01
9.11448000E+02	1.03990800E+01	1.03518500E+01
9.11492800E+02	1.03821000E+01	1.03376300E+01
9.11537700E+02	1.03658300E+01	1.03235300E+01
9.11582600E+02	1.03501500E+01	1.03095800E+01
9.11672300E+02	1.03201600E+01	1.02821300E+01
9.11762000E+02	1.02914300E+01	1.02552200E+01
9.11851700E+02	1.02636200E+01	1.02288100E+01
9.12031100E+02	1.02100400E+01	1.01773700E+01
9.12210500E+02	1.01586300E+01	1.01276400E+01
9.12479700E+02	1.00848200E+01	1.00558400E+01
9.12748800E+02	1.00144100E+01	9.98703900E+00
9.13287000E+02	9.88181700E+00	9.85687700E+00
9.13825300E+02	9.75797200E+00	9.73474300E+00
9.14363500E+02	9.64087000E+00	9.61885100E+00
9.14901800E+02	9.52875400E+00	9.50756600E+00
9.15440000E+02	9.41979300E+00	9.39916600E+00
9.15978300E+02	9.31284700E+00	9.29254400E+00
9.16516500E+02	9.20704000E+00	9.18684000E+00
9.17114600E+02	9.08952900E+00	9.06918900E+00
9.17712700E+02	8.97074400E+00	8.94999400E+00
9.18310800E+02	8.84948600E+00	8.82804400E+00
9.18908800E+02	8.72394600E+00	8.70146100E+00
9.19506900E+02	8.59161400E+00	8.56760200E+00
9.20104900E+02	8.44992600E+00	8.42373000E+00
9.20404000E+02	8.37441700E+00	8.34679300E+00
9.20703000E+02	8.29506100E+00	8.26571000E+00
9.21002000E+02	8.21108400E+00	8.17962500E+00
9.21301000E+02	8.12145400E+00	8.08738300E+00
9.21659900E+02	8.00431200E+00	7.96616000E+00
9.21839300E+02	7.94086800E+00	7.90013900E+00
9.22018700E+02	7.87346100E+00	7.82967800E+00
9.22198200E+02	7.80138100E+00	7.75393200E+00
9.22377600E+02	7.72386500E+00	7.67195600E+00
9.22557000E+02	7.63977900E+00	7.58234300E+00
9.22736400E+02	7.54770400E+00	7.48324500E+00
9.22886000E+02	7.46352300E+00	7.39154500E+00
9.22960800E+02	7.41853400E+00	7.34197700E+00
9.23035500E+02	7.37153100E+00	7.28963200E+00
9.23110300E+02	7.32238200E+00	7.23407000E+00
9.23185000E+02	7.27140300E+00	7.17515000E+00
9.23259800E+02	7.21902300E+00	7.11248600E+00
9.23297200E+02	7.19268700E+00	7.07974800E+00
9.23334500E+02	7.16663600E+00	7.04618200E+00
9.23371900E+02	7.14107800E+00	7.01165300E+00
9.23409300E+02	7.11655200E+00	6.97633300E+00
9.23446700E+02	7.09367700E+00	6.94035500E+00
9.23484000E+02	7.07331700E+00	6.90401300E+00
9.23521400E+02	7.05640800E+00	6.86739200E+00
9.23558800E+02	7.04434400E+00	6.83096900E+00
9.23596200E+02	7.03881100E+00	6.79525200E+00
9.23633500E+02	7.04188900E+00	6.76099400E+00
9.23670900E+02	7.05618000E+00	6.72885600E+00
9.23708300E+02	7.08484600E+00	6.70000000E+00
9.23745700E+02	7.13169900E+00	6.67575200E+00
9.23783000E+02	7.20106100E+00	6.65776700E+00
9.23820400E+02	7.29864500E+00	6.64789600E+00
9.23857800E+02	7.43053300E+00	6.64851400E+00
9.23895200E+02	7.60389900E+00	6.66234100E+00
9.23932500E+02	7.82622200E+00	6.69242000E+00
9.23968100E+02	8.09275600E+00	6.73956800E+00
9.24003600E+02	8.42015300E+00	6.80802300E+00
9.24039100E+02	8.81840700E+00	6.90168700E+00
9.24074600E+02	9.29746800E+00	7.02468800E+00
9.24110100E+02	9.86778000E+00	7.18144100E+00
9.24145600E+02	1.05401000E+01	7.37659500E+00
9.24181100E+02	1.13252700E+01	7.61494800E+00
9.24216600E+02	1.22339300E+01	7.90134900E+00
9.24252100E+02	1.32762200E+01	8.24057800E+00
9.24287600E+02	1.44613900E+01	8.63720200E+00
9.24323100E+02	1.57973900E+01	9.09541600E+00
9.24358600E+02	1.72904800E+01	9.61887000E+00
9.24394100E+02	1.89447400E+01	1.02104800E+01
9.24429600E+02	2.07616700E+01	1.08722500E+01
9.24500600E+02	2.48740300E+01	1.24085400E+01
9.24575400E+02	2.98389700E+01	1.43225500E+01
9.24650100E+02	3.53078900E+01	1.64962300E+01
9.24799600E+02	4.68466400E+01	2.13058800E+01
9.24881900E+02	5.28069800E+01	2.39378600E+01
9.24964100E+02	5.78910700E+01	2.63156400E+01
9.25003400E+02	5.98856100E+01	2.73080700E+01
9.25008900E+02	6.01385300E+01	2.74378400E+01
9.25019300E+02	6.05982300E+01	2.76766400E+01
9.25038800E+02	6.13928000E+01	2.81002700E+01
9.25059500E+02	6.21363800E+01	2.85137000E+01
9.25080000E+02	6.27673500E+01	2.88842600E+01
9.25100500E+02	6.32899500E+01	2.92142600E+01
9.25121100E+02	6.37031000E+01	2.95033900E+01
9.25144800E+02	6.40367700E+01	2.97815700E+01
9.25147100E+02	6.40610100E+01	2.98054000E+01
9.25149500E+02	6.40847500E+01	2.98296700E+01
9.25157800E+02	6.41546800E+01	2.99088300E+01
9.25166000E+02	6.42051800E+01	2.99797400E+01
9.25182500E+02	6.42507800E+01	3.01002800E+01
9.25219400E+02	6.40825700E+01	3.02618100E+01
9.25286700E+02	6.28376500E+01	3.01726400E+01
9.25347200E+02	6.07556500E+01	2.96855900E+01
9.25407700E+02	5.78822600E+01	2.88496400E+01
9.25528800E+02	5.03816200E+01	2.63465500E+01
9.25649800E+02	4.17378000E+01	2.31862700E+01
9.25757400E+02	3.41625700E+01	2.02581800E+01
9.25811200E+02	3.06550700E+01	1.88571300E+01
9.25865000E+02	2.74174400E+01	1.75373100E+01
9.25918800E+02	2.44872400E+01	1.63186400E+01
9.25972600E+02	2.18836600E+01	1.52137000E+01
9.26026400E+02	1.96098000E+01	1.42283500E+01
9.26053300E+02	1.85938000E+01	1.37807600E+01
9.26080200E+02	1.76556200E+01	1.33627600E+01
9.26108800E+02	1.67403700E+01	1.29500100E+01
9.26137400E+02	1.59060600E+01	1.25688500E+01
9.26166000E+02	1.51484100E+01	1.22179800E+01
9.26194600E+02	1.44628500E+01	1.18959400E+01
9.26223200E+02	1.38445900E+01	1.16011400E+01
9.26251800E+02	1.32887700E+01	1.13319000E+01
9.26280400E+02	1.27905400E+01	1.10865100E+01
9.26308900E+02	1.23465500E+01	1.08639700E+01
9.26337500E+02	1.19490400E+01	1.06610000E+01
9.26366100E+02	1.15951500E+01	1.04767300E+01
9.26394700E+02	1.12806000E+01	1.03095300E+01
9.26423200E+02	1.10022800E+01	1.01583400E+01
9.26451800E+02	1.07544700E+01	1.00206200E+01
9.26480400E+02	1.05347200E+01	9.89555000E+00
9.26509000E+02	1.03398300E+01	9.78183000E+00
9.26537500E+02	1.01674200E+01	9.67861200E+00
9.26566100E+02	1.00136400E+01	9.58407700E+00
9.26594700E+02	9.87674200E+00	9.49760500E+00
9.26623300E+02	9.75458300E+00	9.41829100E+00
9.26651800E+02	9.64562200E+00	9.34556300E+00
9.26680400E+02	9.54741200E+00	9.27818300E+00
9.26709000E+02	9.45887300E+00	9.21576300E+00
9.26737600E+02	9.37870500E+00	9.15772500E+00
9.26766100E+02	9.30601900E+00	9.10374000E+00
9.26794700E+02	9.23932300E+00	9.05297900E+00
9.26823300E+02	9.17803400E+00	9.00524300E+00
9.26851900E+02	9.12141900E+00	8.96018300E+00
9.26880400E+02	9.06902400E+00	8.91764400E+00
9.26937600E+02	8.97391300E+00	8.83836300E+00
9.26994700E+02	8.88961100E+00	8.76595700E+00
9.27045200E+02	8.82191200E+00	8.70648000E+00
9.27095600E+02	8.75944200E+00	8.65066500E+00
9.27196500E+02	8.64612400E+00	8.54751800E+00
9.27297400E+02	8.54451300E+00	8.45339100E+00
9.27398200E+02	8.45163700E+00	8.36633100E+00
9.27499100E+02	8.36537300E+00	8.28476100E+00
9.27600000E+02	8.28449300E+00	8.20774900E+00
9.27801700E+02	8.13533200E+00	8.06451900E+00
9.28003500E+02	7.99860300E+00	7.93198600E+00
9.28205200E+02	7.87090600E+00	7.80723800E+00
9.28406900E+02	7.74967600E+00	7.68801800E+00
9.28608600E+02	7.63304800E+00	7.57266300E+00
9.29039000E+02	7.39326300E+00	7.33373000E+00
9.29361800E+02	7.21680200E+00	7.15660100E+00
9.29684500E+02	7.03986300E+00	6.97804600E+00
9.30007300E+02	6.85986400E+00	6.79552800E+00
9.30330000E+02	6.67475900E+00	6.60694600E+00
9.30545200E+02	6.54760600E+00	6.47674600E+00
9.30760400E+02	6.41734800E+00	6.34227700E+00
9.30868000E+02	6.35125200E+00	6.27324100E+00
9.30975600E+02	6.28476300E+00	6.20289100E+00
9.31083200E+02	6.21815500E+00	6.13113300E+00
9.31190700E+02	6.15178200E+00	6.05793700E+00
9.31289100E+02	6.09136400E+00	5.98952800E+00
9.31387500E+02	6.03129300E+00	5.91968600E+00
9.31485900E+02	5.97136500E+00	5.84832200E+00
9.31584200E+02	5.91116100E+00	5.77542100E+00
9.31780900E+02	5.78650300E+00	5.62433400E+00
9.31977600E+02	5.65020500E+00	5.46564900E+00
9.31984300E+02	5.64529000E+00	5.46010000E+00
9.32004500E+02	5.63035600E+00	5.44331200E+00
9.32036400E+02	5.60642000E+00	5.41661600E+00
9.32054300E+02	5.59280100E+00	5.40153700E+00
9.32062700E+02	5.58636400E+00	5.39443600E+00
9.32081900E+02	5.57154100E+00	5.37814400E+00
9.32109600E+02	5.54989500E+00	5.35449000E+00
9.32121500E+02	5.54050400E+00	5.34427400E+00
9.32147300E+02	5.51995700E+00	5.32201000E+00
9.32173000E+02	5.49925000E+00	5.29967600E+00
9.32224400E+02	5.45717200E+00	5.25452800E+00
9.32327300E+02	5.37073600E+00	5.16217000E+00
9.32499500E+02	5.22196300E+00	5.00137700E+00
9.32671600E+02	5.07018500E+00	4.83224500E+00
9.32843800E+02	4.91247000E+00	4.65376300E+00
9.33015900E+02	4.74155200E+00	4.46524200E+00
9.33039700E+02	4.71641800E+00	4.43832000E+00
9.33073300E+02	4.68022700E+00	4.39994500E+00
9.33094200E+02	4.65728500E+00	4.37585600E+00
9.33098400E+02	4.65263500E+00	4.37099400E+00
9.33107800E+02	4.64217700E+00	4.36008900E+00
9.33117200E+02	4.63165100E+00	4.34914900E+00
9.33132400E+02	4.61448400E+00	4.33138500E+00
9.33136200E+02	4.61016400E+00	4.32693000E+00
9.33139900E+02	4.60594700E+00	4.32258600E+00
9.33151300E+02	4.59288700E+00	4.30916900E+00
9.33155000E+02	4.58862600E+00	4.30480300E+00
9.33163500E+02	4.57879700E+00	4.29475200E+00
9.33172000E+02	4.56891200E+00	4.28467200E+00
9.33189000E+02	4.54897300E+00	4.26442400E+00
9.33223000E+02	4.50842200E+00	4.22357300E+00
9.33291000E+02	4.42470800E+00	4.14042300E+00
9.33479900E+02	4.17622400E+00	3.89884500E+00
9.33668800E+02	3.91145800E+00	3.64065600E+00
9.33763300E+02	3.77556300E+00	3.50486200E+00
9.33857700E+02	3.63841600E+00	3.36459700E+00
9.33952100E+02	3.50014500E+00	3.21959400E+00
9.34046500E+02	3.36078700E+00	3.06975700E+00
9.34141000E+02	3.22012500E+00	2.91487400E+00
9.34235400E+02	3.07842300E+00	2.75530700E+00
9.34329900E+02	2.93552500E+00	2.59087500E+00
9.34424300E+02	2.79219100E+00	2.42226700E+00
9.34518800E+02	2.64904800E+00	2.24975900E+00
9.34613200E+02	2.50798300E+00	2.07478200E+00
9.34707600E+02	2.37141100E+00	1.89892700E+00
9.34802000E+02	2.24344800E+00	1.72514900E+00
9.34905900E+02	2.12066100E+00	1.54235700E+00
9.35009800E+02	2.03177200E+00	1.38011800E+00
9.35061800E+02	2.00788400E+00	1.31293700E+00
9.35113700E+02	2.00421400E+00	1.26048800E+00
9.35165600E+02	2.02770800E+00	1.22842000E+00
9.35217500E+02	2.08783500E+00	1.22463000E+00
9.35269500E+02	2.19762200E+00	1.25994800E+00
9.35295500E+02	2.27628300E+00	1.29665600E+00
9.35321400E+02	2.37378800E+00	1.34872600E+00
9.35347400E+02	2.49393500E+00	1.41915100E+00
9.35373400E+02	2.63989500E+00	1.51075400E+00
9.35399400E+02	2.81569500E+00	1.62697500E+00
9.35425300E+02	3.02505800E+00	1.77113800E+00
9.35451300E+02	3.27483300E+00	1.94884500E+00
9.35477300E+02	3.57024700E+00	2.16472300E+00
9.35503300E+02	3.91806300E+00	2.42459400E+00
9.35529200E+02	4.32422600E+00	2.73374000E+00
9.35555200E+02	4.80043800E+00	3.10194400E+00
9.35581100E+02	5.35259200E+00	3.53463400E+00
9.35607100E+02	5.99567600E+00	4.04443300E+00
9.35633000E+02	6.73660900E+00	4.63770200E+00
9.35657600E+02	7.54499200E+00	5.29049500E+00
9.35682200E+02	8.46786400E+00	6.04118600E+00
9.35706800E+02	9.51870300E+00	6.90149800E+00
9.35731300E+02	1.07070100E+01	7.87993200E+00
9.35759600E+02	1.22762900E+01	9.17915300E+00
9.35770000E+02	1.29108000E+01	9.70636000E+00
9.35782300E+02	1.37042000E+01	1.03669000E+01
9.35810700E+02	1.57265400E+01	1.20562400E+01
9.35842800E+02	1.83639000E+01	1.42691800E+01
9.35874800E+02	2.14093800E+01	1.68352300E+01
9.35908800E+02	2.51563400E+01	2.00043600E+01
9.35942800E+02	2.94916800E+01	2.36838600E+01
9.35976800E+02	3.44811100E+01	2.79315700E+01
9.36010700E+02	4.01742300E+01	3.27917300E+01
9.36056100E+02	4.90400500E+01	4.03823400E+01
9.36101400E+02	5.94482400E+01	4.93195800E+01
9.36146800E+02	7.15942800E+01	5.97762800E+01
9.36192100E+02	8.55558300E+01	7.18242700E+01
9.36233700E+02	1.00087500E+02	8.43901400E+01
9.36275200E+02	1.16271200E+02	9.84102200E+01
9.36316800E+02	1.34205100E+02	1.13973500E+02
9.36358300E+02	1.53784200E+02	1.30992600E+02
9.36441400E+02	1.97755500E+02	1.69306900E+02
9.36524500E+02	2.47066400E+02	2.12408300E+02
9.36705800E+02	3.62513200E+02	3.13865200E+02
9.36811600E+02	4.24623100E+02	3.68862000E+02
9.36879600E+02	4.58164300E+02	3.98776300E+02
9.36947500E+02	4.84533200E+02	4.22512200E+02
9.37005200E+02	5.00263100E+02	4.36899500E+02
9.37062800E+02	5.09189300E+02	4.45369600E+02
9.37073500E+02	5.10071400E+02	4.46266600E+02
9.37102500E+02	5.11223500E+02	4.47616000E+02
9.37131400E+02	5.10571600E+02	4.47386700E+02
9.37189200E+02	5.03968200E+02	4.42284300E+02
9.37275800E+02	4.81688400E+02	4.23749300E+02
9.37362400E+02	4.46779300E+02	3.94050700E+02
9.37502600E+02	3.72380000E+02	3.29984000E+02
9.37642800E+02	2.90068300E+02	2.58526300E+02
9.37704700E+02	2.54985700E+02	2.27939100E+02
9.37766500E+02	2.22066800E+02	1.99172400E+02
9.37828400E+02	1.91830800E+02	1.72692300E+02
9.37890200E+02	1.64760300E+02	1.48933100E+02
9.37952100E+02	1.40935300E+02	1.27976700E+02
9.38013900E+02	1.20417600E+02	1.09888500E+02
9.38044900E+02	1.11310700E+02	1.01845600E+02
9.38075800E+02	1.02983400E+02	9.44820900E+01
9.38106700E+02	9.53703700E+01	8.77416100E+01
9.38137600E+02	8.84331900E+01	8.15914100E+01
9.38168600E+02	8.21115400E+01	7.59791900E+01
9.38199500E+02	7.64036400E+01	7.09045500E+01
9.38230400E+02	7.12449700E+01	6.63113300E+01
9.38261300E+02	6.65925500E+01	6.21623700E+01
9.38292300E+02	6.23913300E+01	5.84096400E+01
9.38323200E+02	5.86274300E+01	5.50417700E+01
9.38354100E+02	5.52474100E+01	5.20119900E+01
9.38385000E+02	5.22141800E+01	4.92880100E+01
9.38416000E+02	4.94846200E+01	4.68319700E+01
9.38446900E+02	4.70438700E+01	4.46314000E+01
9.38477800E+02	4.48527700E+01	4.26518200E+01
9.38508700E+02	4.28839500E+01	4.08692700E+01
9.38539700E+02	4.11070700E+01	3.92570100E+01
9.38570600E+02	3.95110400E+01	3.78056200E+01
9.38632400E+02	3.67646100E+01	3.52998300E+01
9.38694300E+02	3.44982500E+01	3.32227600E+01
9.38756100E+02	3.26114700E+01	3.14859900E+01
9.38818000E+02	3.10146000E+01	3.00099800E+01
9.38879800E+02	2.96490700E+01	2.87429500E+01
9.38941700E+02	2.84619900E+01	2.76376600E+01
9.39003500E+02	2.74206600E+01	2.66650800E+01
9.39065400E+02	2.64940700E+01	2.57973000E+01
9.39127200E+02	2.56642900E+01	2.50182900E+01
9.39218000E+02	2.45852500E+01	2.40026600E+01
9.39308700E+02	2.36416200E+01	2.31121000E+01
9.39399400E+02	2.28058800E+01	2.23214500E+01
9.39490100E+02	2.20589000E+01	2.16131800E+01
9.39580800E+02	2.13863700E+01	2.09740100E+01
9.39671500E+02	2.07773100E+01	2.03936100E+01
9.39762200E+02	2.02232900E+01	1.98637700E+01
9.39852900E+02	1.97178700E+01	1.93778100E+01
9.39943700E+02	1.92559400E+01	1.89297600E+01
9.40034400E+02	1.88356100E+01	1.85160300E+01
9.40125100E+02	1.84551900E+01	1.81322700E+01
9.40170500E+02	1.82798700E+01	1.79504100E+01
9.40215800E+02	1.81152700E+01	1.77752600E+01
9.40261200E+02	1.79609700E+01	1.76057100E+01
9.40306500E+02	1.78180700E+01	1.74422200E+01
9.40351900E+02	1.76864100E+01	1.72837800E+01
9.40397200E+02	1.75670800E+01	1.71308200E+01
9.40442600E+02	1.74600400E+01	1.69824200E+01
9.40487900E+02	1.73662400E+01	1.68390200E+01
9.40533300E+02	1.72856300E+01	1.66997600E+01
9.40578600E+02	1.72187800E+01	1.65650600E+01
9.40628100E+02	1.71613000E+01	1.64225000E+01
9.40677600E+02	1.71197500E+01	1.62845500E+01
9.40727100E+02	1.70934100E+01	1.61509800E+01
9.40776600E+02	1.70810400E+01	1.60215800E+01
9.40875600E+02	1.70905800E+01	1.57744400E+01
9.40974500E+02	1.71278000E+01	1.55417100E+01
9.41073500E+02	1.71651300E+01	1.53213700E+01
9.41172400E+02	1.71714200E+01	1.51124100E+01
9.41263200E+02	1.71248100E+01	1.49292500E+01
9.41320900E+02	1.70606800E+01	1.48167500E+01
9.41351900E+02	1.70138300E+01	1.47574700E+01
9.41373200E+02	1.69764400E+01	1.47172000E+01
9.41381700E+02	1.69603200E+01	1.47012300E+01
9.41398800E+02	1.69258300E+01	1.46692700E+01
9.41409000E+02	1.69039300E+01	1.46503100E+01
9.41410400E+02	1.69008500E+01	1.46477200E+01
9.41414800E+02	1.68910500E+01	1.46395700E+01
9.41419100E+02	1.68812900E+01	1.46316200E+01
9.41435100E+02	1.68434700E+01	1.46021800E+01
9.41451000E+02	1.68035300E+01	1.45731000E+01
9.41508900E+02	1.66389000E+01	1.44687900E+01
9.41589900E+02	1.63626600E+01	1.43268600E+01
9.41670900E+02	1.60436200E+01	1.41894200E+01
9.41775100E+02	1.55946100E+01	1.40190200E+01
9.41879300E+02	1.51340300E+01	1.38556800E+01
9.41983500E+02	1.46926600E+01	1.36992500E+01
9.42035600E+02	1.44865300E+01	1.36235600E+01
9.42087700E+02	1.42926900E+01	1.35495100E+01
9.42139800E+02	1.41122600E+01	1.34770600E+01
9.42191900E+02	1.39457500E+01	1.34061600E+01
9.42244000E+02	1.37930900E+01	1.33367800E+01
9.42296100E+02	1.36538100E+01	1.32688400E+01
9.42348200E+02	1.35270800E+01	1.32023100E+01
9.42400300E+02	1.34118400E+01	1.31371200E+01
9.42452400E+02	1.33069000E+01	1.30732300E+01
9.42504500E+02	1.32110300E+01	1.30105600E+01
9.42550900E+02	1.31322900E+01	1.29557500E+01
9.42597200E+02	1.30590900E+01	1.29019500E+01
9.42643500E+02	1.29905200E+01	1.28490200E+01
9.42689800E+02	1.29258900E+01	1.27969200E+01
9.42736100E+02	1.28645900E+01	1.27456200E+01
9.42782400E+02	1.28061200E+01	1.26951000E+01
9.42828700E+02	1.27500200E+01	1.26453200E+01
9.42875000E+02	1.26959200E+01	1.25962500E+01
9.42944500E+02	1.26178100E+01	1.25239000E+01
9.43014000E+02	1.25427300E+01	1.24530400E+01
9.43152900E+02	1.23995900E+01	1.23156200E+01
9.43291900E+02	1.22633900E+01	1.21832900E+01
9.43430800E+02	1.21328900E+01	1.20558300E+01
9.43708700E+02	1.18858500E+01	1.18136800E+01
9.43986500E+02	1.16549400E+01	1.15867900E+01
9.44542200E+02	1.12324800E+01	1.11705300E+01
9.45097900E+02	1.08515400E+01	1.07939700E+01
9.45653700E+02	1.05002700E+01	1.04457700E+01
9.46209400E+02	1.01697000E+01	1.01172500E+01
9.46765100E+02	9.85413000E+00	9.80283600E+00
9.47320800E+02	9.54837800E+00	9.49743500E+00
9.47969200E+02	9.19771200E+00	9.14621000E+00
9.48617500E+02	8.84711300E+00	8.79399700E+00
9.49265900E+02	8.48987600E+00	8.43399600E+00
9.49914200E+02	8.11972100E+00	8.05976900E+00
9.50562600E+02	7.72972900E+00	7.66411600E+00
9.51210900E+02	7.31019400E+00	7.23670400E+00
9.51535100E+02	7.08631400E+00	7.00769000E+00
9.51697200E+02	6.97050800E+00	6.88873900E+00
9.51859200E+02	6.85239200E+00	6.76663200E+00
9.52021300E+02	6.73247400E+00	6.64100000E+00
9.52102400E+02	6.67221800E+00	6.57677800E+00
9.52183400E+02	6.61216200E+00	6.51168100E+00
9.52264500E+02	6.55242400E+00	6.44551700E+00
9.52345500E+02	6.49342100E+00	6.37841200E+00
9.52426500E+02	6.43530400E+00	6.31024700E+00
9.52507500E+02	6.37820000E+00	6.24098100E+00
9.52590000E+02	6.32104100E+00	6.16925600E+00
9.52672500E+02	6.26462100E+00	6.09629600E+00
9.52837500E+02	6.15150000E+00	5.94646400E+00
9.53002500E+02	6.03133500E+00	5.79105400E+00
9.53085000E+02	5.96562400E+00	5.71111600E+00
9.53167400E+02	5.89478900E+00	5.62971000E+00
9.53207900E+02	5.85782300E+00	5.58910800E+00
9.53235500E+02	5.83177700E+00	5.56121100E+00
9.53251300E+02	5.81654900E+00	5.54515600E+00
9.53259700E+02	5.80835800E+00	5.53659500E+00
9.53276000E+02	5.79227700E+00	5.51993400E+00
9.53296300E+02	5.77190400E+00	5.49909100E+00
9.53341700E+02	5.72496100E+00	5.45209800E+00
9.53468100E+02	5.58476000E+00	5.31844000E+00
9.53594500E+02	5.43278000E+00	5.18046500E+00
9.53756300E+02	5.22717200E+00	4.99721800E+00
