0	10000000
1	8187310
2	6703200
3	6065310
4	5488120
5	4493290
6	3678790
7	3011940
8	2465970
9	2231300
10	2018970
11	1652990
12	1353350
13	1224560
14	1108030
15	1002590
16	907180
17	820850
18	608101
19	550232
20	497871
21	450492
22	407622
23	301974
24	273237
25	247235
26	183156
27	122773
28	111090
29	82297.5
30	67379.5
31	55165.6
32	40867.7
33	36978.6
34	29283
35	27394.4
36	24787.5
37	16615.6
38	15034.4
39	11137.8
40	9118.82
41	7465.86
42	5530.85
43	5004.5
44	3526.62
45	3354.63
46	2248.67
47	2034.68
48	1507.33
49	1433.82
50	1234.1
51	1010.39
52	914.242
53	748.518
54	677.287
55	453.999
56	371.703
57	304.325
58	203.995
59	148.625
60	136.742
61	91.6609
62	75.6736
63	67.904
64	55.5951
65	51.578
66	48.2516
67	45.5174
68	40.169
69	37.2665
70	33.7201
71	30.5113
72	27.6077
73	24.9805
74	22.6033
75	19.4548
76	15.9283
77	13.7096
78	11.2245
79	9.90555
80	9.18981
81	8.31529
82	7.52398
83	6.16012
84	5.34643
85	5.04348
86	4.12925
87	4
88	3.38075
89	3.3
90	2.76792
91	2.72
92	2.6
93	2.55
94	2.36
95	2.13
96	2.1
97	2.02
98	1.93
99	1.84
100	1.755
101	1.67
102	1.59
103	1.5
104	1.475
105	1.44498
106	1.37
107	1.3375
108	1.3
109	1.235
110	1.17
111	1.15
112	1.12535
113	1.11
114	1.097
115	1.071
116	1.045
117	1.035
118	1.02
119	0.996
120	0.986
121	0.972
122	0.95
123	0.93
124	0.91
125	0.86
126	0.85
127	0.79
128	0.78
129	0.705
130	0.625
131	0.54
132	0.5
133	0.485
134	0.433
135	0.4
136	0.391
137	0.35
138	0.32
139	0.3145
140	0.3
141	0.28
142	0.248
143	0.22
144	0.189
145	0.18
146	0.16
147	0.14
148	0.134
149	0.115
150	0.1
151	0.095
152	0.08
153	0.077
154	0.067
155	0.058
156	0.05
157	0.042
158	0.035
159	0.03
160	0.025
161	0.02
162	0.015
163	0.01
164	0.0069
165	0.005
166	0.003
167	0.00001
